metrekare,fiyat
165,7450000
750,40000000
90,5500000
170,13500000
145,9350000
200,15500000
250,16500000
400,15000000
420,23500000
450,39900000
280,12750000
300,12000000
130,7250000
145,7400000
280,19500000
700,54000000
180,11500000
140,8500000
530,28500000
260,6700000
212,10500000
450,16000000
750,40000000
360,21950000
700,16500000
500,30000000
680,28000000
327,10950000
450,9000000
700,11000000
450,40000000
700,30000000
400,11500000
500,15000000
500,35000000
460,16000000
560,13750000
656,27000000
700,9000000
600,32500000
473,15000000
480,12950000
512,20950000
500,35000000
600,26000000
610,17500000
700,14000000
600,22500000
360,12000000
400,17500000
303,16000000
327,10950000
450,9000000
310,18000000
400,8500000
400,12750000
350,16500000
330,11650000
600,32500000
600,26000000
696,44900000
700,18000000
610,27500000
650,4000000
700,11500000
700,30000000
700,28000000
680,28000000
650,21000000
